"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Marlon Prudencio",6,378,20,2,"N",1,"Win","N","Alex Tan",357,21,2,1,0,1,1,2,"N",0,26,7,1,72
"Wong Zhi Yuan",6,285,15,3,"N",0,"Lose","N","William Kang",531,-246,0,1,0,0,0,2,"N",3,27,3,0,0
"Victor Gwee",6,371,18,4,"N",0,"Lose","N","Jocelyn Lor",375,-4,1,1,1,1,1,2,"N",1,58,7,1,76
"Tony Sim",6,332,13,5,"N",0,"Lose","N","Vannitha Balasingam",442,-110,0,0,1,0,1,2,"N",0,46,4,0,0
"Ricky Purnomo",6,508,19,6,"N",1,"Win","N","Tan Jin Chor",392,116,1,1,0,0,1,3,"N",3,11,6,2,221
"Victor Chua",6,377,11,7,"N",0,"Lose","N","Nigel Richards",544,-167,0,1,0,0,0,1,"N",7,31,2,1,72
"Michael Tang",6,359,14,8,"N",0,"Lose","N","Yeo Kian Hung",414,-55,1,0,0,0,1,2,"N",10,8,4,1,83
"Yong Jian Rong",6,447,16,9,"N",1,"Win","N","Martin Teo",394,53,2,1,1,0,0,2,"N",11,12,6,2,158
"Shim Yen Nee",6,416,12,10,"N",0,"Lose","N","Aaron Chong",438,-22,0,1,1,0,1,3,"N",7,47,6,2,145
"Nigel Richards",6,544,7,11,"N",1,"Win","Y","Victor Chua",377,167,2,0,1,1,1,3,"N",7,9,8,3,261
"Aaron Chong",6,438,10,12,"N",1,"Win","Y","Shim Yen Nee",416,22,2,0,0,1,0,1,"N",7,42,4,2,157
"Vannitha Balasingam",6,442,5,13,"N",1,"Win","Y","Tony Sim",332,110,2,1,0,1,0,2,"Y",0,43,6,0,0
"Yeo Kian Hung",6,414,8,14,"N",1,"Win","Y","Michael Tang",359,55,1,1,1,1,0,2,"N",8,23,6,2,158
"William Kang",6,531,3,15,"N",1,"Win","Y","Wong Zhi Yuan",285,246,2,0,1,1,1,2,"N",8,1,7,2,164
"Martin Teo",6,394,9,16,"N",0,"Lose","Y","Yong Jian Rong",447,-53,0,0,0,1,1,2,"N",6,28,4,2,150
"Vinnith Ramamurti",6,398,1,17,"N",0,"Lose","Y","Hubert Wee",445,-47,0,1,1,1,1,1,"N",4,9,5,0,0
